epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8756,3.16989,8.65739,1.94516,0,0,0,0,3.11491,7.28397,2.0866,2.499e-05,2.499e-05,2.499e-05
2,116.326,3.00817,5.77871,1.88279,5e-05,0.01136,3e-05,1e-05,2.58139,8.23448,1.69983,5.80214e-05,5.80214e-05,5.80214e-05
3,174.777,2.69788,4.15868,1.64992,0.08396,0.20536,0.1436,0.06212,2.40217,6.67612,1.50897,9.07229e-05,9.07229e-05,9.07229e-05
4,231.192,2.48411,3.05411,1.49035,0.41651,0.22321,0.17,0.07447,2.23132,4.80128,1.42496,0.000123094,0.000123094,0.000123094
5,285.484,2.36353,2.66913,1.46855,0.53369,0.28737,0.2307,0.09905,2.18009,3.78392,1.399,0.000155136,0.000155136,0.000155136
6,345.469,2.27173,2.19058,1.39808,0.81625,0.29682,0.3922,0.16665,2.15252,3.23319,1.38666,0.000186848,0.000186848,0.000186848
7,400.969,2.25742,2.06166,1.36618,0.71201,0.35192,0.40414,0.17436,2.13724,2.98689,1.39754,0.00021823,0.00021823,0.00021823
8,455.505,2.20882,1.8745,1.38374,0.55821,0.48876,0.47463,0.19922,2.18651,2.77936,1.43085,0.000249282,0.000249282,0.000249282
9,509.709,2.12973,1.83639,1.30417,0.71451,0.53361,0.5764,0.22927,2.14032,2.75706,1.40887,0.000280005,0.000280005,0.000280005
10,563.203,2.02062,1.52976,1.26962,0.73825,0.63901,0.67371,0.27665,2.11076,2.39378,1.38438,0.000310397,0.000310397,0.000310397
11,618.103,2.09197,1.47876,1.36044,0.63687,0.64584,0.71227,0.29706,2.13595,2.20655,1.39922,0.00034046,0.00034046,0.00034046
12,679.766,2.06343,1.41617,1.32629,0.64379,0.68779,0.6998,0.28987,2.14191,1.83133,1.39453,0.000370192,0.000370192,0.000370192
13,735.101,2.02239,1.30652,1.2255,0.6482,0.71608,0.73009,0.31868,2.09699,1.60098,1.37999,0.000399595,0.000399595,0.000399595
14,789.339,1.96719,1.20896,1.2356,0.84302,0.61458,0.75865,0.33273,2.10891,1.52884,1.39945,0.000428668,0.000428668,0.000428668
15,846.917,1.99688,1.18982,1.28429,0.72897,0.70658,0.77473,0.31872,2.18922,1.36239,1.44694,0.000457411,0.000457411,0.000457411
16,902.058,1.94961,1.16315,1.26258,0.88528,0.66548,0.78144,0.31825,2.14146,1.35213,1.41904,0.000485824,0.000485824,0.000485824
17,956.629,1.97336,1.13857,1.29047,0.71548,0.75491,0.78361,0.30679,2.20474,1.34525,1.45073,0.000513908,0.000513908,0.000513908
18,1013.1,1.99483,1.07952,1.26043,0.72782,0.77511,0.77116,0.29946,2.12813,1.31593,1.4126,0.000541661,0.000541661,0.000541661
19,1064.56,1.95167,1.09332,1.29649,0.77402,0.73943,0.77572,0.32331,2.06451,1.24179,1.36873,0.000569085,0.000569085,0.000569085
20,1117.04,1.93987,1.10146,1.23238,0.71909,0.72749,0.76415,0.312,2.11591,1.30048,1.40827,0.000596179,0.000596179,0.000596179
21,1169.78,1.85685,1.04172,1.23689,0.78116,0.70981,0.79145,0.33233,2.07544,1.20472,1.38707,0.000622942,0.000622942,0.000622942
22,1226.11,1.87401,1.05528,1.25139,0.74074,0.74104,0.79938,0.3341,2.05959,1.18491,1.38099,0.000649376,0.000649376,0.000649376
23,1279.13,1.83729,0.96941,1.25118,0.84236,0.70113,0.80774,0.33597,2.06297,1.17444,1.38957,0.000675481,0.000675481,0.000675481
24,1335.21,1.79641,0.94025,1.21397,0.90398,0.75752,0.81676,0.35034,2.03499,1.10598,1.37829,0.000701255,0.000701255,0.000701255
25,1390.67,1.8278,0.96087,1.23732,0.85331,0.76001,0.80947,0.34345,2.08668,1.0561,1.39895,0.000726699,0.000726699,0.000726699
26,1445.92,1.76353,0.97085,1.22531,0.82856,0.73141,0.77853,0.30814,2.23734,1.09176,1.4754,0.000729916,0.000729916,0.000729916
27,1500.53,1.85334,0.96066,1.22121,0.84318,0.75331,0.82373,0.33251,2.14306,1.0798,1.41468,0.000725793,0.000725793,0.000725793
28,1554.01,1.80528,0.93728,1.19135,0.82906,0.81708,0.85259,0.35819,2.06427,1.02239,1.3688,0.00072167,0.00072167,0.00072167
29,1609.45,1.86315,1.01306,1.18769,0.77997,0.79333,0.81897,0.3571,2.07262,1.01937,1.37946,0.000717546,0.000717546,0.000717546
30,1663.8,1.73434,0.90756,1.13458,0.81227,0.7872,0.81037,0.33022,2.17146,1.07336,1.44213,0.000713423,0.000713423,0.000713423
31,1717.46,1.79182,0.94314,1.2059,0.7797,0.78882,0.8169,0.3303,2.18662,1.04288,1.45108,0.000709299,0.000709299,0.000709299
32,1769.1,1.73355,0.88933,1.20124,0.76091,0.80127,0.82383,0.33597,2.16383,1.03429,1.43364,0.000705176,0.000705176,0.000705176
33,1822.43,1.70705,0.90339,1.17122,0.74574,0.80376,0.81528,0.32921,2.15647,1.03708,1.43542,0.000701053,0.000701053,0.000701053
34,1874.13,1.68671,0.91316,1.18908,0.76879,0.77631,0.78496,0.3029,2.25522,1.08551,1.50937,0.000696929,0.000696929,0.000696929
35,1926.28,1.81628,0.89962,1.18324,0.73469,0.79043,0.78222,0.29833,2.26585,1.06389,1.51044,0.000692806,0.000692806,0.000692806
36,1977.57,1.71968,0.86118,1.15724,0.76422,0.83266,0.80857,0.32284,2.19828,0.98851,1.45829,0.000688683,0.000688683,0.000688683
37,2030.84,1.81831,0.88311,1.23386,0.76609,0.82739,0.81023,0.32123,2.22798,1.00258,1.47,0.000684559,0.000684559,0.000684559
38,2084.42,1.72588,0.88217,1.14891,0.75612,0.68607,0.71558,0.28829,2.28504,1.02619,1.51412,0.000680436,0.000680436,0.000680436
39,2136.48,1.74023,0.86742,1.18022,0.72033,0.74165,0.7218,0.2896,2.29432,1.03616,1.51134,0.000676313,0.000676313,0.000676313
40,2188.59,1.75653,0.84763,1.16185,0.738,0.77307,0.76912,0.32468,2.19453,1.00311,1.4413,0.000672189,0.000672189,0.000672189
41,2242.08,1.7361,0.87424,1.18745,0.79483,0.77303,0.79463,0.33416,2.18986,0.98266,1.43392,0.000668066,0.000668066,0.000668066
42,2293.84,1.68528,0.84551,1.15015,0.79681,0.78757,0.79064,0.33588,2.18892,0.97011,1.43735,0.000663943,0.000663943,0.000663943
43,2349.05,1.66643,0.838,1.20517,0.75936,0.76937,0.76116,0.31233,2.27692,0.97605,1.48752,0.000659819,0.000659819,0.000659819
44,2404.66,1.7154,0.82596,1.19193,0.75381,0.76393,0.7614,0.30907,2.27823,0.96844,1.48244,0.000655696,0.000655696,0.000655696
45,2455.55,1.75879,0.83317,1.26102,0.77853,0.80578,0.81127,0.34373,2.17182,0.94444,1.41926,0.000651573,0.000651573,0.000651573
46,2507.14,1.67825,0.81875,1.20171,0.81418,0.81897,0.82972,0.36417,2.1488,0.93064,1.40256,0.000647449,0.000647449,0.000647449
47,2557.84,1.61888,0.821,1.12149,0.81398,0.7774,0.78155,0.32416,2.21674,0.95548,1.44169,0.000643326,0.000643326,0.000643326
48,2609.38,1.73261,0.8486,1.12862,0.78714,0.80019,0.79786,0.32032,2.25373,0.93943,1.44655,0.000639203,0.000639203,0.000639203
49,2660.01,1.68262,0.82516,1.18049,0.81898,0.82017,0.82676,0.32767,2.24734,0.9341,1.4473,0.000635079,0.000635079,0.000635079
