epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.616,3.33282,4.54656,2.59069,0,0,0,0,3.15175,4.77711,2.77734,2.5e-05,2.5e-05,2.5e-05
2,20.287,3.00806,4.65202,2.27789,0,0,0,0,2.87543,4.6737,2.55831,6.18813e-05,6.18813e-05,6.18813e-05
3,30.149,2.64405,4.25025,2.02356,0,0,0,0,2.79088,4.57324,2.43218,9.802e-05,9.802e-05,9.802e-05
4,39.747,2.62071,4.02155,1.92432,0,0,0,0,2.44385,4.36013,2.08485,0.000133416,0.000133416,0.000133416
5,50.059,2.50461,3.78736,1.78311,0,0,0,0,2.25096,4.29912,1.87557,0.00016807,0.00016807,0.00016807
6,59.9801,2.32636,3.47331,1.55856,0.0045,0.25,0.01435,0.00369,2.0542,4.19255,1.63775,0.000201981,0.000201981,0.000201981
7,69.5681,2.30645,3.32658,1.63354,0.00438,0.25,0.04459,0.00785,1.9625,4.12985,1.55803,0.00023515,0.00023515,0.00023515
8,79.0491,2.13116,3.15192,1.51602,0.00422,0.25,0.07279,0.01176,1.8877,4.04933,1.46913,0.000267576,0.000267576,0.000267576
9,88.6811,2.10856,3.03263,1.46078,0.00406,0.25,0.07811,0.01269,1.81517,4.02824,1.41498,0.00029926,0.00029926,0.00029926
10,98.4921,2.08676,3.01841,1.57724,0.00391,0.25,0.10322,0.01519,1.75873,4.00527,1.36131,0.000330201,0.000330201,0.000330201
11,108.115,1.94176,2.70308,1.4289,0.00362,0.25,0.14103,0.01983,1.71843,3.99027,1.34351,0.0003604,0.0003604,0.0003604
12,117.887,1.95928,2.63607,1.37996,0.00726,0.46875,0.16317,0.0296,1.69973,3.93392,1.31738,0.000389856,0.000389856,0.000389856
13,127.614,1.93841,2.70193,1.44007,0.00885,0.59375,0.23869,0.04661,1.70776,3.83574,1.3322,0.00041857,0.00041857,0.00041857
14,137.711,1.82386,2.43264,1.35277,0.01219,0.78125,0.24896,0.09521,1.80743,3.71592,1.41285,0.000446541,0.000446541,0.000446541
15,147.518,1.87658,2.19514,1.31061,0.01219,0.78125,0.24896,0.09521,1.80743,3.71592,1.41285,0.00047377,0.00047377,0.00047377
16,156.829,1.77932,2.0772,1.31448,0.01286,0.78125,0.28225,0.11183,1.82116,3.51995,1.43533,0.000500256,0.000500256,0.000500256
17,166.353,1.76634,2.1607,1.41344,0.0129,0.84375,0.35776,0.18179,1.85326,3.38315,1.46632,0.000526,0.000526,0.000526
18,176.39,1.89873,1.75646,1.35372,0.0129,0.84375,0.35776,0.18179,1.85326,3.38315,1.46632,0.000551001,0.000551001,0.000551001
19,186.451,1.83828,1.79514,1.3009,0.01316,0.90625,0.54415,0.26606,1.89615,3.16646,1.47164,0.00057526,0.00057526,0.00057526
20,196.536,1.83105,1.94113,1.40433,0.86693,0.25057,0.64757,0.32284,1.77731,3.06361,1.40979,0.000598776,0.000598776,0.000598776
21,206.746,1.84551,1.8085,1.33515,0.86693,0.25057,0.64757,0.32284,1.77731,3.06361,1.40979,0.00062155,0.00062155,0.00062155
22,216.72,1.82685,1.65087,1.348,0.51394,0.75,0.64665,0.30048,1.84123,2.9943,1.50883,0.000643581,0.000643581,0.000643581
23,226.304,1.74696,1.58617,1.32682,0.51394,0.75,0.64665,0.30048,1.84123,2.9943,1.50883,0.00066487,0.00066487,0.00066487
24,236.202,1.8295,1.63592,1.34752,0.65125,0.80614,0.76705,0.34158,1.82876,2.6896,1.45892,0.000685416,0.000685416,0.000685416
25,245.936,1.83911,1.57948,1.39778,0.65125,0.80614,0.76705,0.34158,1.82876,2.6896,1.45892,0.00070522,0.00070522,0.00070522
26,255.583,1.7407,1.55146,1.32469,0.93855,0.45648,0.87754,0.4253,1.72829,2.34583,1.39141,0.000724281,0.000724281,0.000724281
27,265.293,1.71593,1.53449,1.34126,0.93855,0.45648,0.87754,0.4253,1.72829,2.34583,1.39141,0.0007426,0.0007426,0.0007426
28,275.429,1.79507,1.63647,1.42874,0.9084,0.61783,0.88372,0.4005,1.77914,2.20958,1.41233,0.000760176,0.000760176,0.000760176
29,285.038,1.74287,1.59976,1.36858,0.9084,0.61783,0.88372,0.4005,1.77914,2.20958,1.41233,0.00077701,0.00077701,0.00077701
30,294.585,1.83089,1.58846,1.43572,0.9084,0.61783,0.88372,0.4005,1.77914,2.20958,1.41233,0.000793101,0.000793101,0.000793101
31,304.031,1.73619,1.4998,1.3523,0.89001,0.65025,0.93386,0.45485,1.66093,2.11182,1.31767,0.00080845,0.00080845,0.00080845
32,313.737,1.66876,1.50846,1.31769,0.89001,0.65025,0.93386,0.45485,1.66093,2.11182,1.31767,0.000823056,0.000823056,0.000823056
33,323.416,1.63756,1.36059,1.25989,0.84423,0.84872,0.92079,0.45888,1.72511,1.84902,1.30971,0.00083692,0.00083692,0.00083692
34,332.937,1.83053,1.44781,1.29883,0.84423,0.84872,0.92079,0.45888,1.72511,1.84902,1.30971,0.000841625,0.000841625,0.000841625
35,342.482,1.72575,1.41251,1.27649,0.84423,0.84872,0.92079,0.45888,1.72511,1.84902,1.30971,0.00082925,0.00082925,0.00082925
36,352.739,1.62708,1.38548,1.282,0.84804,0.9502,0.94389,0.48175,1.72289,1.56909,1.29529,0.000816875,0.000816875,0.000816875
37,362.33,1.7339,1.35604,1.28543,0.84804,0.9502,0.94389,0.48175,1.72289,1.56909,1.29529,0.0008045,0.0008045,0.0008045
38,372.77,1.69658,1.40037,1.28137,0.84804,0.9502,0.94389,0.48175,1.72289,1.56909,1.29529,0.000792125,0.000792125,0.000792125
39,383.64,1.84069,1.34373,1.27468,0.87665,0.89145,0.92426,0.51797,1.64155,1.50232,1.26751,0.00077975,0.00077975,0.00077975
40,393.573,1.77979,1.43768,1.30147,0.87665,0.89145,0.92426,0.51797,1.64155,1.50232,1.26751,0.000767375,0.000767375,0.000767375
41,403.454,1.70004,1.40129,1.33448,0.90346,0.91389,0.93134,0.54533,1.61625,1.45285,1.23983,0.000755,0.000755,0.000755
42,413.441,1.63141,1.26528,1.19973,0.90346,0.91389,0.93134,0.54533,1.61625,1.45285,1.23983,0.000742625,0.000742625,0.000742625
43,423.413,1.61309,1.41279,1.32229,0.90346,0.91389,0.93134,0.54533,1.61625,1.45285,1.23983,0.00073025,0.00073025,0.00073025
44,433.482,1.70085,1.3185,1.22965,0.92424,0.96875,0.95823,0.47604,1.68818,1.43999,1.25642,0.000717875,0.000717875,0.000717875
