epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.1047,3.184,9.33235,0.71053,3.98135,3.35567,0.14469,0.20588,0.07178,0.01939,0,0,0,0,3.01191,8.78067,0.67924,2.90875,3.27024,8e-05,8e-05,8e-05
2,179.124,2.66111,8.93345,0.69768,2.87815,2.76407,0.50458,0.11765,0.11888,0.03484,0,0,0,0,2.21737,8.80508,0.66627,2.92258,2.45942,0.000178218,0.000178218,0.000178218
3,273.84,2.54551,8.61148,0.68407,2.75842,2.49574,0.13328,0.58824,0.17553,0.06334,0,0,0,0,2.11773,8.80485,0.66222,3.46826,2.58488,0.000274456,0.000274456,0.000274456
4,369.93,2.13074,7.57422,0.72443,2.39291,2.22635,0.12577,0.35294,0.12312,0.02403,0,0,0,0,2.91765,8.18828,0.6669,4.0048,3.27502,0.000368714,0.000368714,0.000368714
5,465,2.09062,6.99689,0.71216,2.42399,2.20695,0.59515,0.14706,0.18914,0.04849,0.17543,0.02941,0.00871,0.00087,2.80422,8.10914,0.67598,3.09632,3.41868,0.000460992,0.000460992,0.000460992
6,552.974,1.98043,6.89235,0.73955,2.25617,2.17067,0.08678,0.52941,0.06562,0.01638,0.01266,0.05882,0.00173,0.00017,3.02955,7.66931,0.67478,4.97363,4.02647,0.00055129,0.00055129,0.00055129
7,639.505,2.03225,6.38286,0.7213,2.0696,2.16095,0.21734,0.47059,0.21023,0.06229,0.0476,0.17647,0.01229,0.00123,3.16743,7.04095,0.70446,4.10917,5.28415,0.000639608,0.000639608,0.000639608
8,734.016,2.25929,5.65966,0.75807,2.30569,2.45498,0.1198,0.08824,0.05436,0.02406,0.04305,0.08824,0.04211,0.00639,3.38419,6.8104,0.71308,4.25788,5.09236,0.000725946,0.000725946,0.000725946
9,828.778,2.30536,6.19115,0.74132,2.45973,2.49813,0.24019,0.14706,0.09338,0.03312,0.18622,0.08824,0.03463,0.00397,2.7528,5.4071,0.69224,5.31613,4.70497,0.000810304,0.000810304,0.000810304
10,918.126,2.12802,5.7572,0.71261,2.20759,2.40589,0.17695,0.35294,0.11002,0.03004,0.05578,0.35294,0.03251,0.01179,2.15542,5.14487,0.71284,20.5378,3.40812,0.000892682,0.000892682,0.000892682
