epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1088,3.24367,8.65695,1.98318,0,0,0,0,3.15525,7.31761,2.11804,2.499e-05,2.499e-05,2.499e-05
2,129.111,2.98911,5.8719,1.87061,5e-05,0.01136,4e-05,0,2.58685,8.45643,1.71638,5.77327e-05,5.77327e-05,5.77327e-05
3,189.38,2.67349,4.28952,1.64113,0.10592,0.125,0.09434,0.03991,2.39438,7.04116,1.53193,8.98157e-05,8.98157e-05,8.98157e-05
4,247.202,2.48969,3.12397,1.47721,0.26537,0.33036,0.20784,0.10056,2.22655,4.6891,1.39823,0.000121239,0.000121239,0.000121239
5,305.976,2.35259,2.67623,1.46293,0.53093,0.29048,0.26658,0.11299,2.24576,3.53411,1.42738,0.000152003,0.000152003,0.000152003
6,364.663,2.24365,2.20305,1.37057,0.71403,0.34306,0.37898,0.1609,2.19741,3.15193,1.40076,0.000182106,0.000182106,0.000182106
7,429.006,2.25074,2.03227,1.34864,0.60212,0.54801,0.5762,0.23971,2.13986,2.72517,1.38918,0.00021155,0.00021155,0.00021155
8,485.69,2.18587,1.86444,1.3709,0.69547,0.48843,0.55971,0.23908,2.17576,2.41118,1.42062,0.000240335,0.000240335,0.000240335
9,545.517,2.11791,1.86227,1.29722,0.61899,0.5471,0.54058,0.20146,2.29917,2.61381,1.48852,0.000268459,0.000268459,0.000268459
10,609.714,2.03779,1.55349,1.27012,0.7688,0.56332,0.65599,0.26953,2.16883,2.25305,1.41371,0.000295924,0.000295924,0.000295924
11,668.304,2.07701,1.48734,1.35869,0.54869,0.69359,0.70325,0.29037,2.11698,2.15225,1.39341,0.000322729,0.000322729,0.000322729
12,723.534,2.09041,1.44926,1.34779,0.56966,0.64204,0.6605,0.27784,2.09946,1.96563,1.3684,0.000348875,0.000348875,0.000348875
13,777.907,2.01936,1.32598,1.24092,0.69631,0.70701,0.72486,0.30391,2.10305,1.68825,1.36099,0.00037436,0.00037436,0.00037436
14,831.661,1.95042,1.25446,1.23023,0.66774,0.7227,0.7278,0.30661,2.12051,1.62028,1.37178,0.000399186,0.000399186,0.000399186
15,885.157,2.0039,1.24592,1.28582,0.74308,0.64115,0.73876,0.32447,2.09925,1.38631,1.38338,0.000423352,0.000423352,0.000423352
16,942.809,1.99882,1.17879,1.28072,0.76404,0.68632,0.78001,0.33148,2.06351,1.40653,1.36775,0.000446859,0.000446859,0.000446859
17,997.038,1.9197,1.15863,1.26751,0.69529,0.72003,0.76386,0.31972,2.09449,1.43686,1.38135,0.000469705,0.000469705,0.000469705
18,1052.9,1.97005,1.12618,1.2456,0.81655,0.73365,0.76759,0.31578,2.12314,1.31327,1.40097,0.000491892,0.000491892,0.000491892
1,64.379,3.24367,8.65695,1.98318,0,0,0,0,3.15525,7.31761,2.11804,2.499e-05,2.499e-05,2.499e-05
2,120.401,2.98911,5.8719,1.87061,5e-05,0.01136,4e-05,0,2.58685,8.45643,1.71638,5.77327e-05,5.77327e-05,5.77327e-05
3,176.01,2.67349,4.28952,1.64113,0.07735,0.19323,0.10424,0.04585,2.39438,7.04116,1.53193,8.98157e-05,8.98157e-05,8.98157e-05
4,233.444,2.48969,3.12397,1.47721,0.26537,0.33036,0.20784,0.10056,2.22655,4.6891,1.39823,0.000121239,0.000121239,0.000121239
5,288.673,2.35259,2.67623,1.46293,0.50708,0.3204,0.27468,0.1146,2.24576,3.53411,1.42738,0.000152003,0.000152003,0.000152003
6,346.444,2.24365,2.20305,1.37057,0.71403,0.34306,0.37898,0.1609,2.19741,3.15193,1.40076,0.000182106,0.000182106,0.000182106
7,401.214,2.25074,2.03227,1.34864,0.60212,0.54801,0.5762,0.23971,2.13986,2.72517,1.38918,0.00021155,0.00021155,0.00021155
8,460.207,2.18587,1.86444,1.3709,0.69547,0.48843,0.55971,0.23908,2.17576,2.41118,1.42062,0.000240335,0.000240335,0.000240335
9,517.451,2.11791,1.86227,1.29722,0.61899,0.5471,0.54058,0.20146,2.29917,2.61381,1.48852,0.000268459,0.000268459,0.000268459
10,575.773,2.03779,1.55349,1.27012,0.7688,0.56332,0.65599,0.26953,2.16883,2.25305,1.41371,0.000295924,0.000295924,0.000295924
11,637.433,2.07701,1.48734,1.35869,0.54869,0.69359,0.70325,0.29037,2.11698,2.15225,1.39341,0.000322729,0.000322729,0.000322729
12,698.229,2.09041,1.44926,1.34779,0.56966,0.64204,0.6605,0.27784,2.09946,1.96563,1.3684,0.000348875,0.000348875,0.000348875
13,759.618,2.01936,1.32598,1.24092,0.69631,0.70701,0.72486,0.30391,2.10305,1.68825,1.36099,0.00037436,0.00037436,0.00037436
14,819.818,1.95042,1.25446,1.23023,0.66774,0.7227,0.7278,0.30661,2.12051,1.62028,1.37178,0.000399186,0.000399186,0.000399186
15,877.177,2.0039,1.24592,1.28582,0.74308,0.64115,0.73876,0.32447,2.09925,1.38631,1.38338,0.000423352,0.000423352,0.000423352
16,934.632,1.99882,1.17879,1.28072,0.76404,0.68632,0.78001,0.33148,2.06351,1.40653,1.36775,0.000446859,0.000446859,0.000446859
17,996.394,1.9197,1.15863,1.26751,0.69529,0.72003,0.76386,0.31972,2.09449,1.43686,1.38135,0.000469705,0.000469705,0.000469705
18,1051.43,1.97005,1.12618,1.2456,0.81655,0.73365,0.76759,0.31578,2.12314,1.31327,1.40097,0.000491892,0.000491892,0.000491892
19,1105.97,1.95076,1.10049,1.30043,0.74351,0.75266,0.7684,0.32586,2.12971,1.23263,1.4094,0.00051342,0.00051342,0.00051342
20,1160.97,1.95581,1.09438,1.2459,0.77758,0.72597,0.77545,0.32629,2.15829,1.27001,1.42644,0.000534287,0.000534287,0.000534287
21,1214.89,1.84332,1.00204,1.22544,0.84962,0.72867,0.75742,0.31031,2.19078,1.23227,1.45173,0.000554495,0.000554495,0.000554495
22,1270.63,1.88762,1.0502,1.25956,0.82743,0.71459,0.7639,0.31746,2.1909,1.20178,1.4452,0.000574043,0.000574043,0.000574043
23,1324.18,1.83519,0.9594,1.25772,0.77027,0.73548,0.74213,0.32445,2.14166,1.17184,1.41463,0.000592931,0.000592931,0.000592931
24,1374.89,1.82576,0.95229,1.22703,0.74241,0.73692,0.7431,0.30666,2.19263,1.18096,1.44672,0.00061116,0.00061116,0.00061116
